,dissatisfied,satisfied,accuracy,macro avg,weighted avg
precision,0.9314794620138132,0.9320463921538102,0.9317848308247033,0.9317629270838117,0.9317820022352664
recall,0.9215139800413558,0.9407605279698303,0.9317848308247033,0.9311372540055931,0.9317848308247033
f1-score,0.9264699236227234,0.9363831867057674,0.9317848308247033,0.9314265551642453,0.9317601006602053
support,11123.0,12728.0,0.9317848308247033,23851.0,23851.0
